Id,Yard number,Yard name,Sale Date M/D/CY,Day of Week,Sale time (HHMM),Time Zone,Item#,Lot number,Vehicle Type,Year,Make,Model Group,Model Detail,Body Style,Color,Damage Description,Secondary Damage,Sale Title State,Sale Title Type,Has Keys-Yes or No,Lot Cond. Code,VIN,Odometer,Odometer Brand,Est. Retail Value,Repair cost,Engine,Drive,Transmission,Fuel Type,Cylinders,Runs/Drives,Sale Status,"High Bid =non-vix,Sealed=Vix",Special Note,Location city,Location state,Location ZIP,Location country,Currency Code,Image Thumbnail,Create Date/Time,Grid/Row,Make-an-Offer Eligible,Buy-It-Now Price,Image URL,Trim,Last Updated Time,Rentals,Copart Select
11,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,35689722,V,2015,MAZDA,3,3 TOURING,,CHARCOAL,SIDE,,CA,SC,YES,D,JM1BM1L72F1267624,55209,A,17035,14034.28,2.0L  4,Front-wheel Drive,AUTOMATIC,GAS,4,Run & Drive Verified,Pure Sale,2050,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP263/5c63bfec5981451db8c7f9cfdc8c2e9a_thb.jpg,2022-06-02-07.40.18.000395, A060,N,0,http://inventoryv2.copart.io/v1/lotImages/35689722?country=us&brand=cprt&yardNumber=1,TOURING,2022-06-01T18:37:59Z,N,N
12,1,CA - VALLEJO,0,,,PDT,0,35722902,V,1995,ACURA,INTEGRA,INTEGRA SE,,GREEN,VANDALISM,,CA,SC,NO,E,JH4DC4460SS010466,67609,A,7205,0,1.8L  4,Front-wheel Drive,AUTOMATIC,GAS,4,DEFAULT,Pure Sale,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP262/fe7bc3d5aca042c9bce0a130ff593d2f_thb.jpg,2022-06-02-07.40.18.000406, B070,N,0,http://inventoryv2.copart.io/v1/lotImages/35722902?country=us&brand=cprt&yardNumber=1,SE,2022-05-12T19:49:32Z,N,N
13,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,35756482,V,2017,BMW,3 SERIES,328 D XDRI,,SILVER,SIDE,MECHANICAL,CA,SC,YES,S,WBA8J1C39HA018608,46353,A,33143,0,2.0L  4,All wheel drive,AUTOMATIC,DIESEL,4,Vehicle Starts,Pure Sale,7200,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP264/0a0e7477848549cbb922228395d4cb6a_thb.jpg,2022-06-02-07.40.18.000407,SH008,N,0,http://inventoryv2.copart.io/v1/lotImages/35756482?country=us&brand=cprt&yardNumber=1,D XDRIVE,2022-05-31T18:16:57Z,N,N
14,1,CA - VALLEJO,0,,,PDT,0,36042602,M,2002,ARIM,BF90A,BF90A,,TWO TONE,ALL OVER,,CA,AQ,NO,E,AMI2L325C202,0,E,23500,26112,,,AUTOMATIC,,,DEFAULT,Pure Sale,15,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP264/7e6c73fb2fa84488b2acd0eba64a435a_thb.jpg,2022-06-02-07.40.18.000407,II070,N,0,http://inventoryv2.copart.io/v1/lotImages/36042602?country=us&brand=cprt&yardNumber=1,,2022-05-19T16:57:13Z,N,N
15,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,36330032,V,2019,RAM,2500,2500 TRADE,,WHITE,FRONT END,,CA,SC,NO,E,3C7WR4HJ3KG543610,0,N,45376,49019.74,6.4L  8,Rear-wheel drive,AUTOMATIC,GAS,8,DEFAULT,On Minimum Bid,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP278/9256901b37f34b82aa4f2fd20a3ce75f_thb.jpg,2022-06-02-07.40.18.000407, C020,N,0,http://inventoryv2.copart.io/v1/lotImages/36330032?country=us&brand=cprt&yardNumber=1,TRADESMAN,2022-06-01T12:37:16Z,N,N
16,1,CA - VALLEJO,0,,,PDT,0,36614412,V,2014,HYUNDAI,SONATA,SONATA GLS,,BURN,BURN,,CA,NR,EXM,E,5NPEB4AC8EH906309,0,N,6582,0,2.4L  4,Front-wheel Drive,AUTOMATIC,GAS,4,DEFAULT,Pure Sale,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP267/41b806d842384bdfbcd536fa6634ea62_thb.jpg,2022-06-02-07.40.18.000408, A130,N,0,http://inventoryv2.copart.io/v1/lotImages/36614412?country=us&brand=cprt&yardNumber=1,GLS,2022-05-12T17:42:40Z,N,N
17,1,CA - VALLEJO,0,,,PDT,0,36701412,V,2013,TOYOTA,RAV4,RAV4 LIMIT,,WHITE,FRONT END,REAR END,CA,SC,YES,D,2T3YFREV8DW035283,138174,A,17600,15016.95,2.5L  4,Front-wheel Drive,AUTOMATIC,GAS,4,Run & Drive Verified,Pure Sale,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP269/44587441244b4b26aed617c881d6dffc_thb.jpg,2022-06-02-07.40.18.000408, C070,N,0,http://inventoryv2.copart.io/v1/lotImages/36701412?country=us&brand=cprt&yardNumber=1,LIMITED,2022-06-01T23:12:31Z,N,N
18,1,CA - VALLEJO,0,,,PDT,0,36778322,V,2013,LINCOLN,MKX,MKX,,BLUE,ALL OVER,,CA,NR,EXM,E,2LMDJ8JK6DBL46426,0,N,16201,16481,3.7L  6,All wheel drive,AUTOMATIC,GAS,6,DEFAULT,Pure Sale,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP269/fe710403eba14e28a5c603994cf28be3_thb.jpg,2022-06-02-07.40.18.000408,SB007,N,0,http://inventoryv2.copart.io/v1/lotImages/36778322?country=us&brand=cprt&yardNumber=1,,2022-05-03T19:08:42Z,N,N
19,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,36790312,V,2003,CHEVROLET,SILVERADO,SILVERADO,PICKUP,BLACK,UNDERCARRIAGE,VANDALISM,CA,SC,YES,D,1GCGC24U63Z258828,162141,A,8354,0,6.0L  8,Rear-wheel drive,AUTOMATIC,GAS,8,Run & Drive Verified,On Approval,800,MISSING CAT                 ,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP318/e4de6562da4b4afaa9d25557628f18dd_thb.jpg,2022-06-02-07.40.18.000409, E030,N,0,http://inventoryv2.copart.io/v1/lotImages/36790312?country=us&brand=cprt&yardNumber=1,C2500,2022-05-26T19:05:56Z,N,N
20,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,36815112,V,2012,CHEVROLET,SONIC,SONIC LT,,RED,MECHANICAL,,CA,CQ,YES,S,1G1JC5SB1C4168212,140993,A,0,0,1.4L  4,Front-wheel Drive,AUTOMATIC,GAS,4,Vehicle Starts,On Minimum Bid,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP268/7d42929b1cd541f4b39388909b416d36_thb.jpg,2022-06-02-07.40.18.000409,SD005,Y,1400,http://inventoryv2.copart.io/v1/lotImages/36815112?country=us&brand=cprt&yardNumber=1,LT,2022-05-27T22:01:27Z,N,N
