Id,Yard number,Yard name,Sale Date M/D/CY,Day of Week,Sale time (HHMM),Time Zone,Item#,Lot number,Vehicle Type,Year,Make,Model Group,Model Detail,Body Style,Color,Damage Description,Secondary Damage,Sale Title State,Sale Title Type,Has Keys-Yes or No,Lot Cond. Code,VIN,Odometer,Odometer Brand,Est. Retail Value,Repair cost,Engine,Drive,Transmission,Fuel Type,Cylinders,Runs/Drives,Sale Status,"High Bid =non-vix,Sealed=Vix",Special Note,Location city,Location state,Location ZIP,Location country,Currency Code,Image Thumbnail,Create Date/Time,Grid/Row,Make-an-Offer Eligible,Buy-It-Now Price,Image URL,Trim,Last Updated Time,Rentals,Copart Select
270,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,44434282,V,1991,PORSCHE,944,944 S,,RED,FRONT END,,CA,SC,YES,D,WP0CB2943MN440232,93571,A,30364.41,31243.52,3.0L  4,Rear-wheel drive,MANUAL,GAS,4,Run & Drive Verified,On Minimum Bid,275,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP318/24303f6694ce4a8db4903fffbcd1f2d9_thb.jpg,2022-06-02-07.40.18.000953, A020,N,9400,http://inventoryv2.copart.io/v1/lotImages/44434282?country=us&brand=cprt&yardNumber=1,S,2022-05-27T20:25:21Z,N,N
271,841,CRASHEDTOYS POWERSPORT AUCTION,20220609,THURSDAY,1200,CDT,0,44435852,C,2012,HARLEY-DAVIDSON,FL,FLHX STREE,,BLACK,FRONT END,,CA,SC,NO,E,1HD1KBM34CB608254,0,N,14513,0,2,,AUTOMATIC,GAS,2,DEFAULT,Pure Sale,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP317/eb39a4c93d324b30acac64999fcdc305_thb.jpg,2022-06-02-07.40.18.000953,MC001,N,0,http://inventoryv2.copart.io/v1/lotImages/44435852?country=us&brand=cprt&yardNumber=841,STREET GLIDE,2022-06-01T14:47:48Z,N,N
272,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,44436822,V,2006,INFINITI,M35,M35 BASE,,SILVER,BIOHAZARD/CHEMICAL,FRONT END,CA,ST,YES,D,JNKAY01E66M100255,214146,E,0,0,3.5L  6,Rear-wheel drive,AUTOMATIC,GAS,6,Run & Drive Verified,On Minimum Bid,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP317/1f6d89c43bab481286141c8cb599d69c_thb.jpg,2022-06-02-07.40.18.000953,SG005,Y,1050,http://inventoryv2.copart.io/v1/lotImages/44436822?country=us&brand=cprt&yardNumber=1,BASE,2022-05-27T21:42:10Z,N,N
273,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,44505312,V,2012,HONDA,INSIGHT,INSIGHT LX,,SILVER,SIDE,,CA,SC,NO,E,JHMZE2H57CS005028,0,N,10624,13116.14,1.3L  4,Front-wheel Drive,AUTOMATIC,HYBRID ENGINE,4,DEFAULT,On Minimum Bid,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP318/17fc2f0196c94474aaf1f9b14c41bcef_thb.jpg,2022-06-02-07.40.18.000953, B070,N,1800,http://inventoryv2.copart.io/v1/lotImages/44505312?country=us&brand=cprt&yardNumber=1,LX,2022-05-27T20:18:22Z,N,N
274,841,CRASHEDTOYS POWERSPORT AUCTION,20220602,THURSDAY,1200,CDT,6010,44528502,C,2005,DUCATI,MONSTER,M600,,BLACK,ALL OVER,,CA,NR,EXM,E,ZDM1RA2K15B067348,0,E,4912,13313.13,2,,MANUAL,GAS,2,DEFAULT,Pure Sale,30,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP316/0f235ad8910e4d71aee1c58642ec8816_thb.jpg,2022-06-02-07.40.18.000953,MC002,N,0,http://inventoryv2.copart.io/v1/lotImages/44528502?country=us&brand=cprt&yardNumber=841,,2022-06-01T14:43:52Z,N,N
275,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,44534982,V,2005,NISSAN,ALTIMA,ALTIMA S,SEDAN 4D,GRAY,FRONT END,SIDE,CA,SC,YES,E,1N4AL11DX5C126977,233587,A,4257,0,2.5L  4,Front-wheel Drive,AUTOMATIC,GAS,4,DEFAULT,Pure Sale,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP319/c2ae8d62708447098ac0f8bb568da649_thb.jpg,2022-06-02-07.40.18.000953, D090,N,0,http://inventoryv2.copart.io/v1/lotImages/44534982?country=us&brand=cprt&yardNumber=1,S,2022-05-31T14:45:46Z,N,N
276,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,44539322,V,2007,INFINITI,G35,G35,,SILVER,SIDE,REAR END,CA,SC,YES,D,JNKBV61F77M813451,159461,A,9261,0,3.5L  6,All wheel drive,AUTOMATIC,GAS,6,Run & Drive Verified,Pure Sale,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP317/ccc2a317394a4b299204e996c4f1c131_thb.jpg,2022-06-02-07.40.18.000954, C050,N,0,http://inventoryv2.copart.io/v1/lotImages/44539322?country=us&brand=cprt&yardNumber=1,,2022-05-31T14:42:17Z,N,N
277,1,CA - VALLEJO,0,,,PDT,0,44551092,L,2018,STLT,TRAILER,TRAILER,,WHITE,MINOR DENT/SCRATCHES,,CA,SC,NO,E,52LBE101XJE061346,0,N,4395,2838.86,,,,,,DEFAULT,Pure Sale,15,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP326/60b8c6e8a8764fc3abd061963713f127_thb.jpg,2022-06-02-07.40.18.000954,SH010,N,0,http://inventoryv2.copart.io/v1/lotImages/44551092?country=us&brand=cprt&yardNumber=1,,2022-05-20T19:59:19Z,N,N
278,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,44574922,V,2003,CHEVROLET,S10,S TRUCK S1,,WHITE,SIDE,,CA,SC,YES,S,1GCCS14X738212338,151104,A,7502,0,4.3L  6,Rear-wheel drive,AUTOMATIC,GAS,6,Vehicle Starts,Pure Sale,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP317/66f51d6d8c5f4e9b99095587041f2e31_thb.jpg,2022-06-02-07.40.18.000954,SE005,N,0,http://inventoryv2.copart.io/v1/lotImages/44574922?country=us&brand=cprt&yardNumber=1,S10,2022-05-31T16:54:13Z,N,N
279,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,44586812,V,2010,HONDA,CRV,CR-V EXL,,SILVER,FRONT END,,CA,SC,YES,D,5J6RE4H7XAL084534,75570,A,14627,0,2.4L  4,All wheel drive,AUTOMATIC,GAS,4,Run & Drive Verified,Pure Sale,550,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP318/f25accc01c0a48f186c0de47f14c5d6f_thb.jpg,2022-06-02-07.40.18.000954, C080,N,0,http://inventoryv2.copart.io/v1/lotImages/44586812?country=us&brand=cprt&yardNumber=1,EXL,2022-05-31T17:48:37Z,N,N
280,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,44602482,V,2016,BMW,X5,X5 XDR40E,4DR SPOR,GRAY,MINOR DENT/SCRATCHES,,CA,CQ,YES,D,5UXKT0C58G0F75191,135816,A,0,0,2.0L  4,All wheel drive,AUTOMATIC,HYBRID ENGINE,4,Run & Drive Verified,On Minimum Bid,200,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP317/1cea472cf6ce4f8fbd1ec788ad7a29d7_thb.jpg,2022-06-02-07.40.18.000954,SG006,Y,20000,http://inventoryv2.copart.io/v1/lotImages/44602482?country=us&brand=cprt&yardNumber=1,XDR40E,2022-06-02T01:49:54Z,N,N
281,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,44633342,V,1973,MERCEDES-BENZ,280-CLASS,280 SE,,BLUE,MECHANICAL,,CA,CQ,YES,E,1.08067E+13,46508,E,33400,0,,,AUTOMATIC,,,DEFAULT,On Minimum Bid,7000,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP323/9b2beacc249d4f49b3b9ec7d941a6a83_thb.jpg,2022-06-02-07.40.18.000955, A090,Y,19000,http://inventoryv2.copart.io/v1/lotImages/44633342?country=us&brand=cprt&yardNumber=1,,2022-05-27T20:48:41Z,N,N
282,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,44633662,V,2015,TESLA,MODEL S,MODEL S 85,,GRAY,FRONT END,REAR END,CA,SC,NO,E,5YJSA1H27FF098746,0,N,49930,0,,All wheel drive,AUTOMATIC,ELECTRIC,,DEFAULT,Pure Sale,200,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP319/fe8b940c1f8d45e3bfce0b43e84b61cc_thb.jpg,2022-06-02-07.40.18.000955,SH008,N,0,http://inventoryv2.copart.io/v1/lotImages/44633662?country=us&brand=cprt&yardNumber=1,85D,2022-05-27T22:08:23Z,N,N
283,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,44646352,V,2012,DODGE,RAM 2500,RAM 2500 L,CREW PIC,CHARCOAL,MINOR DENT/SCRATCHES,,MN,ST,YES,D,3C6UD5GL8CG287386,49449,N,0,0,6.7L  6,4x4 w/Rear Wheel Drv,AUTOMATIC,DIESEL,6,Run & Drive Verified,On Minimum Bid,0,VEH LOCATED @ FAIRFLD SUBLOT,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP328/8b3a3994d8c94d8aa84849e856850f78_thb.jpg,2022-06-02-07.40.18.000955,DD070,Y,27000,http://inventoryv2.copart.io/v1/lotImages/44646352?country=us&brand=cprt&yardNumber=1,LONGHORN,2022-06-02T07:02:03Z,N,N
284,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,44731042,V,2002,DODGE,DAKOTA,DAKOTA QUA,,WHITE,SIDE,,CA,SC,YES,D,1B7HL48X42S556418,201518,A,6304,0,3.9L  6,Rear-wheel drive,AUTOMATIC,GAS,6,Run & Drive Verified,Pure Sale,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP318/b411120f5b354223984509cd78dbc705_thb.jpg,2022-06-02-07.40.18.000955,SH001,N,0,http://inventoryv2.copart.io/v1/lotImages/44731042?country=us&brand=cprt&yardNumber=1,QUAD SLT,2022-06-01T17:45:16Z,N,N
285,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,44741132,V,2018,HONDA,ACCORD,ACCORD EX,,WHITE,FRONT END,SIDE,CA,SC,YES,D,1HGCV1F44JA002412,52376,A,28665.02,22210.32,1.5L  4,Front-wheel Drive,AUTOMATIC,GAS,4,Run & Drive Verified,Pure Sale,1700,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP317/59295c0b89a9429db7949886d15ec402_thb.jpg,2022-06-02-07.40.18.000955,SG004,N,0,http://inventoryv2.copart.io/v1/lotImages/44741132?country=us&brand=cprt&yardNumber=1,EX,2022-06-01T17:31:19Z,N,N
286,1,CA - VALLEJO,20220603,FRIDAY,1200,PDT,0,44743032,V,2013,CHEVROLET,IMPALA,IMPALA LT,,CHARCOAL,SIDE,,CA,CQ,YES,D,2G1WG5E3XD1224630,191383,A,0,0,3.6L  6,Front-wheel Drive,AUTOMATIC,GAS,6,Run & Drive Verified,On Minimum Bid,0,,VALLEJO,CA,94590 7203,USA,USD,cs.copart.com/v1/AUTH_svc.pdoc00001/LPP318/eab86df6f6ad4830a75ac35746b8da6a_thb.jpg,2022-06-02-07.40.18.000955, A100,Y,1150,http://inventoryv2.copart.io/v1/lotImages/44743032?country=us&brand=cprt&yardNumber=1,LT,2022-05-27T21:51:20Z,N,N
